Neighborhood,Borough,Median Sale Price
Battery Park City,Manhattan,762900
Carnegie Hill,Manhattan,1500000
Central Midtown,Manhattan,830000
Central Park South,Manhattan,2147500
Chelsea,Manhattan,1077600
Chinatown,Manhattan,1733179
Civic Center,Manhattan,2760000
Clinton - Hell's Kitchen,Manhattan,779500
East Harlem,Manhattan,790000
East Village,Manhattan,1049500
Financial District,Manhattan,967500
Flatiron District,Manhattan,1865000
Garment District,Manhattan,1900000
Gramercy Park,Manhattan,1119375
Greenwich Village,Manhattan,1165000
Harlem,Manhattan,705000
Hudson Square,Manhattan,2906012
Hudson Yards,Manhattan,5504250
Inwood,Manhattan,535000
Kips Bay,Manhattan,597000
Koreatown,Manhattan,645000
Lenox Hill,Manhattan,1150000
Lincoln Square,Manhattan,1040000
Little Italy,Manhattan,1925000
Lower East Side,Manhattan,728000
Manhattan Valley,Manhattan,800000
Morningside Heights,Manhattan,670000
Murray Hill,Manhattan,750000
NoHo,Manhattan,1935000
NoLIta,Manhattan,2647450
NoMad,Manhattan,1623500
Roosevelt Island,Manhattan,676551
SoHo,Manhattan,3250000
Sutton Place,Manhattan,803750
Theatre District - Times Square,Manhattan,997500
TriBeCa,Manhattan,3550000
Tudor City,Manhattan,492500
Turtle Bay,Manhattan,820000
Two Bridges,Manhattan,1225900
Upper West Side,Manhattan,1100000
Washington Heights,Manhattan,590000
West Village,Manhattan,1312500
Yorkville,Manhattan,824000
